Hospital Name,Address,Pin Code,PhONE NO,Fax,LATITUDE,LONGITUDE
Mathrushree Hospital,"#6930, S.No.198, Nh-4 Soundekoppa Nelamangala",562123,080-27722496,080-27724733,12.9899013,77.5533586
V-Care Hospital,"#29, 1St Main Road, 1St Block, Devegowda Road, R.T. Nagar",560032,080-23434373,080-23434329,13.015884,77.5973475
Bhagavathi Multi Speciality Hospital,"L-168, 6Th Sector, Hsr Layout",560102,080-41245868,080-41245868,12.9160636,77.6308219
The Pulse Multi Speciality Hospital,"No 5/8/1, 20Th Main Road Muneshwara Block, Girinagar",560082,080-26724466,080-26722969,12.9424801,77.5473283
Sri Shirdi Sai Hospital,Surabhi Complex B.B Road Devanahalli Town Opp Canara Bank,562110,080-27681395,080-267681395,13.2439141,77.7111925
Sri Venkateshwara Eye Hospital,"#5, Drls Plaza, Nh4, T.Dasarahalli",560057,080-28370013,080-28370013,13.0423919,77.5136653
Sakaria Healthcare Pvt Ltd,"#797, 10Th Main Ist Stage 3Rd Block Hbr Layout",560043,080-25435050,080-25434040,13.029607,77.6275328
Anugrahaa Hospital,"55/3A, Govindana Setty Palya Road Konappana Agrahara Electronic City Infosys South Taluk",560100,080-28521234,080-28521234,12.8548947,77.6681162
Arunodaya Hospitals,"# 18-23 4Th And 5Th Cross Mallasandra Main Road, Bagalagunte",560057,080-28395214,080-28395644,13.0570647,77.50850765
Mvj Hospital,"Nh-4, Mvj Hospital 31 Km Milestone Old Madras Road",562114,080-27931473,080-27931645,13.0776916,77.8116931
South City Hospital,"53/1(45), Shalini, Susheela Road, Lalbagh Upparahalli",560004,7204931879,080-42103814,12.94965165,77.5803074
Deeksha Hospital,#387/347 Bb Road Nehrunagar Yelahankaold Town,560064,080-32564445,080-28566881,13.09823615,77.59704415
Srinivasa Eye Hospital,"No-60, Banaswadi Main Road Beside Uma Maheswari Temple",560043,080-40955959,080-40955958,13.0147224,77.6515616
Sri Sai Ram Hospital,"#6, Jc Industrial Area Yellachanahalli Ist Stage Kanakpura Main Road",560060,080-26860159,080-26860157,12.8943049,77.5682821
Nmpc Hospital,"#66, Jayaram Reddy Layout Horamavu Post Near Home Buzz Horamavu Main Road",560043,080-25420632,080-25420632,13.02241575,77.6580401
Motherhood (Unit Of Rhea Healthcare Pvt Ltd),"#324, Cmh Road, Indirangar Ist Stage Next To Vijaya Bank Building",560038,080-25190000,080-25203355,12.9784409,77.6375845
Sri Lakshmi Multi-Speciality Hospital,"#127/1, Sri Gandhada Kaval Sunkadakatte Vishwaneedam Post Magadi Main Road",560091,080-23588315,080-23588319,12.9881868,77.5087273
Srivijaya Speciality Hospital,#699 3Rd Main Road Bhuvanagiri Layout Doddabanaswadi,560043,080-25428429,080-25428429,13.0124345,77.6580271
Sapthagiri Hospital,No 15 Chikkasandra Hesarghatta Main Road,560090,080-28393392,080-28393405,13.07056115,77.50236919
Dhanush Hospital,"#63, Byraveshwara Nagar 2Nd Main, Nagarbhavi Main Raod",560072,080-23185544,080-23185333,12.9654318,77.52312
Jayashree Multi Speciality Hospital,"#25, 26 & 27, 1St Cross, B Block Vishwapriya Nagar, Begur",560068,080-25745888,080-25745888,12.881583,77.62607261
Amrutha Hospital,# 1 Near Water Tank Jakkur Main Road Amruthahalli,560092,080-40928888,,13.0657486,77.5992653
Sparsh Hospital For Advanced Surgeries,"# 146, Infentry Road, Near Police Commissioner Officer",560001,080-33282061,080-33282111,12.98327855,77.59476886
Srushti Hospital,"124, Kanakapura Main Road, Jayanagara 7Th Block",560082,080-26761144,080-26761145,12.8981572,77.6207364
Sri Lakshmi Venkateshwara Hospital Pvt Ltd,"4/38. 1St Main, 4Th Phase, Industrial Area, Yelahanka New Town",560064,080-42042436,080-42042435,13.10562785,77.57729973
Town Hospital,"Near Srirama Temple Bagalur Road, Sarjapurr",562125,080-27883388,080-27823388,12.8605613,77.7898375
Poornima Hospital,"#200/A, Hmt Layout, Rt Nagar",560032,080-23557272,080-23337272,13.0263344,77.595128
K C Raju Multi Speciality Hospital,Lingarajapuram Hennur Main Road,560084,9686382856,080-25477712,13.0090828,77.6235594
Aditya Netralaya,"#244, 7Th Cross 6 Block 3 Puase 3Block Banashankari",560085,080-26695392,080-26695392,12.9244632,77.5535296
Sri Ramakrishna Hospital,Opp Tvs Show Room Old Madras Road Krishnarajapuram,560036,080-25616114,080-25616114,13.0121705,77.6961802
Manasa Hospital,"No 107, 6Th Main, 2Nd Cross, Vijayanagar",560040,080-23104604,080-23104640,12.968821,77.5246297
Metro Hospital,21/3 Vasanthpur Main Road Konanakunte Cross,560062,080-64522226,080-30461500/51,12.8915893,77.560715
Nagappa Hadli Hospital,M S Palya Circle Vidyaranyapura Post,560097,080-22713016,080-23641993,13.0829889,77.5489026
Nethra Eye Hospital,"#8, Poojary Layout, 80Ft Road, Rmv 2Nd Stage",560094,9632584711,080-23512666,13.0270895,77.57686133
Shree Vijayalakshmi Hospital & Trauma Centre,#3/666 Hennur Bande Hennur Main Road Kalyan Nagar Post,560043,080-42351594,080-42351594,13.0373572,77.6409059
Drishti Nethralaya,"36/7, 1 Floor, 24Th Main Road, Girinagar Muneshwara Block, Girinagar, -560085",560084,080-26740035,080-26723135,12.9422541,77.5506328
Sharada Hospital Nelamangala,"Paramanna Layout, Opp To Corporation Bank",562123,080-27722099,080-27722099,13.0966204,77.3972158
Sidvin Hospital Pvt Ltd,"#1031, 20Th Main, 5Th Block Rajajinagar",560010,080-23505566,080-23506900,12.982442,77.5493681
Life Care Hospital,"No.23/24, 20Th Main, Btm 1St Stage, Om Complex",560028,080-32550276,080-26841727,12.9239305,77.6132696
Vijayashree Hospitals,"#3, Gottigere, Bannerghatta Main Road, (Opp. To Divyasree Medicals)",560083,080-49068888,080-49068800,12.8579673,77.5892687
Bilva Hospital,"No. 21, 22, 2Nd Main Palace Guttahalli, -, Near Vinayaka Circle",560003,080-26444456,080-23444458,12.999009,77.5797442
Medi-Derma Hospital,"85, Byrathi, Hennur Main Road",560077,080-28465644,080-28465744,13.0555559,77.6517145
K.R. Puram Super Speciality Hospital,"3Rd Main Road, Old Extension , K.R. Puram",560036,080-25619999,080-25615599,13.0110115,77.6935975
Vasan Eye Care Hospital-Rajarajeshwari Nagar,"No 483,  Seetha Complex,16Th Cross 18Th Main, Rajarajeshwari Nagar, Bangalore - 560098, Karnataka",560098,080-39890300,080-30411900,12.931334,77.5154779
Medic Star Hospital,"#17/1, Arunachalam Mudaliar Road, Shivaji Nagar, Bangalur",560001,080-25566601,080-25553355,12.9876871,77.6093097
Vasan Eye Care Hospital-Rt Nagar,"No.533, 108 Bus Stop,Vijaylakshmi Arcade,Ganganagar ( R.T.Nagar ) Bangalore - 560032, Karnataka",560032,080-39207950,,13.0251833,77.5920609
Essential Hospital,"#42, 7Th Block, 2Nd Stage Nagarabhavi Ring Road",560072,080-23210410,080-23210047,12.974865,77.5096312
Rangadore Memorial Hospital,"1St Cross, Shankarpuram, Basavanagudi",560004,080-26983300,080-26621645,12.9539883,77.57115092
Gunasheela Surgical And Maternity Hospital,"No.1/B, Dewan. N. Madhav Rao Road. Balgalore, Opposite Krishna Rao Park",560004,080-26673585,080-26670379,12.9403012,77.5764705
Sri Shankara Cancer Hospital And Research Centre.,"1St Cross, Shankarapuram, Basavanagudi, Near Shankarmutt",560004,080-26981046,080-2660832,12.9542624,77.5709473
Bharathy Hospital,"#4, Nagarabhavi Main Road, Prashanth Nagar",560079,080-23485759,080-23489238,12.9761294,77.5326369
Abhishek Nethradhama,"Mosque Complex, Opp Rajkamar Talkies, Fort Road",561203,080-40933219,080-40933219,13.0927718,77.5848154
Vasan Eye Care Hospital-Banaswadi,"No 205-4C,4Th Cross, 3Rd Block, Hrbr Layout, Near Hennur Bus Depot, Banaswadi, Bangalore - 560043, Karnataka",560043,080-39890600,080-25443380,13.0241341,77.6335546
Apple Hospital,#32 Maruthi Complex M S Nagar Bus Stop Banaswadi Main Road,560033,0484-2360798,0484-40915314,13.103924,77.5837862
Mediscope Hospital,"# 11, Pillana Garden 3Rd Stage 3Rd Stage",560045,080-25462301,080-25490165,12.9994472,77.6162584
Vasan Eye Care Hospital Jayanagar,"4Th Block, Diagonal Rd, Jayanagar IV Block, Bangalore 560011, Karnataka",560011,080-39890500,080-30414200,12.9292015,77.5819811
Citi Hospital,"Gandhi Circle, Vartur,",560087,080-28538330,080-28538330,12.9956506,77.5510696
Spandana Hospital And Medical Centre,"No. 206, 1St Main Road, Akallappa Layout, Rammurthynagar",560016,080-42049280,,13.0112166,77.6743939
Brinda Hospital,"No-4, 5Th Block, 2Nd Stage, Bagarbhavi",560072,080-23810101,080-23810102,12.978053,77.5115959
Dr Sailaja'S Super Speciality Eye Hospital,"No. 21,22, 1St Floor Horamavu Main Road",560043,080-42177555,080-42170555,13.0276736,77.6614188
Sakra World Hospital,"52/2 & 52/3, Devarabeesanahalli, Varthur Hobli, Opp Intel, Outer Ring Road Marathahalli",560103,080-49694969,080-49694900,13.0239711,77.64658951
Athreya Hospital,"6/2, Opp. Suryanagara, Phase-1, Chandapura",560081,080-27832783,080-27838384,12.7945637,77.7068165
Annayya Healthcare Pvt Ltd,"#14,14Th Main, Hsr 5Th Sector, Koramangala",560102,080-40928686,080-40928686,12.9182603,77.6381293
Drishti Eye Hospital,"1St Floor,Ncm Complex,B.B.Road,Devanahalli",562110,080-27683838,,13.2936599,77.5423072
People Tree Hospitals,"#2, Tumkur Road",560022,080-49599999,080-49599911,13.028287,77.53914957
Columbia Asia Hospital - Whitefield,"Survey No. 10P&12P, Ramagondanahalli, Whitefield",560066,080-61656666,,12.95825925,77.74539154
Devagiri Hospital,"#2461, 24Th Cross,",560070,080-26980555,080-26980555,12.924153,77.565797
Medstar Speciality Hospital,"No-2270, Maruthi Plaza, Kodigehalli Main Road,",560092,080-41127524,8040956535,13.058128,77.5860405
Abhishek Nethradhama,"Hig-2024, 3Rd B Cross, 'B' Sector, Icici Bank Road",560064,080-40933219,080-40933219,13.0927718,77.5848154
Manasa Hospital,"Opp. To LIC Office,D-Cross Main Road,Doddaballapur",561203,080-27622162,080-27622162,12.968821,77.5246297
Navachethana Hospital,"#17/A2, Doddaballapura Road, New Yelahanka New Town",560064,080-42480137,,13.10361255,77.58379865
Motherhood (Unit Of Rhea Healthcare Pvt Ltd),"514/1-2-3, Kaikondara Village, Opp Total Mall, Sarjapur Road",560104,080-42666000,,12.9784409,77.6375845
Regal Hospital,"#30, Cmr Complex, Chokkanahalli, Hegde Nagar Main Road",560064,8884048888,,13.0830463,77.6347174
Oswal Hospital,"Coronation Road, Bangarpet, Kolar Dist.",563114,08153-255481,08153-254212,12.9925357,78.1779747
M/S Somayaji Hospital,"P.O. Jodamarga, B.C. Road, Bantwal Taluk, Dakshina Kannada Dist.",574219,08255-232268,08255-232487,12.882498,75.0317995
Vijaya Hospital,Mahatma Gandhi Bhavan Behind Hotel Sanman College Road,590001,0831-2431336,,15.8742949,74.5144393
Gizare Maternity Hospital,"#1171, Shivaji Road",590002,0831-2425944,0831-2420398,15.854455,74.510986
Belgaum Cancer Hospital Pvt Ltd,"#9666A-2/D, Ashok Nagar",590010,0831-2472770,0831-2473638,15.8723523,74.5277323
Sri Sankalp Hospital& Eye Care Centre,"Deshmukh Road, Near 1St Rly Gate Tilakwadi",590006,0831-2466623,,15.8374387,74.5020944
Vasan Eye Care Hospital,"3413 Anant Plaza Samadevi Galli Belgaum - 590001, Karnataka",590001, 0831-4089000,0831-4205589,15.8671239,74.5101866
Shakti Nursing Home,"Paruathi Nagar, Talur Road",583103,08392-266532,,15.1543964,76.9280572
K.L.S. Hospital,"16/06, I.S.R. Road, Hospet",583201,08394-227789,08394-228170,15.2736518,76.3856193
Madhuri Nursing Home,"#434, Moka Road, Gandhinagar",583103,08392-255002,08392-254338,15.156648,76.94087865
Dr.S.K.Panduranga Rao Hospital,"#139, Kalamma Street",583101,08392-275224,08392-277322,15.1489687,76.935904
Bhadra Nursing Home,Gandhinagar,577301,08282-266613,08282-266613,13.8482445,75.7085346
Guru Nanak Hospital,Gurdwara Sri Nanak Jhira Saheb,585402,08482-228247,08482-220455,17.9275125,77.50957724
Prayavi Hospital,"Beside Telegraph Office, Opp. Udgir Road, Off Udgir Road",585401,08482-220741,08482-221427,17.9174736,77.5175062
Kamtikar Hospital,"8-10-204, Ganesh Maidan",585401,08482-225825,08482-225825,17.916099,77.5139312
Shree Hospital,"#8-10-57/58/59, Behind Akkamahadevi College",585401,08482-227444,,17.9192848,77.5102238
Apex Hospital,Opp Ganesh Maidan,585407,08482-225095,,17.9158657,77.5121498
Dr. Bidari'S Ashwini Hospital,B.L.D.E. Road,586103,08352-261128,,16.8400987,75.7172679
Choudhari Hospital,"Shikharakhana Road, Near Lic Office",586104,08352-243727,08352-254172,16.8302591,75.7292737
Anugraha Eye Hospital,"Navabhag Main Road, Behind Central Bus Stand",586101,08352-220646,,16.8244503,75.7123791
Lakshmi Sreenivasa Nursing Home,"Somaguddi Road, Near T.B",577522,08195-250953,08195-250024,14.3107913,76.6451675
Sri Manjunatha Hospital,"D.B.M. Road, Chihkbellapur",562101,08156-273110,,13.4333058,77.7298111
Manasa Hospital,"B.B.Road, Chickballapur",562101,08156-275313,08156-272287,13.4339429,77.7306473
Ashraya Hospital,P B No 77 Naidu Streetchikmagalur,577101,08262-230574,0826-2228378,13.3154597,75.7733901
Annapurna Hospital,K.M. Road,577101,08262-230426,08262-236426,13.3118616,75.7699893
Deepa Nursing Home,Chikmanglur,577101,08262-235595,,13.316274,75.7760632
Balaji Nursing Home,"T.B. Road, Kadur",577548,08267-221320,08267-223823,13.5533495,76.011081
Vaatsalya Hospital,"Ratnagiri Road, Opp Renukacharye Kalyan Mantap",577101,08262-235683,08262-231183,13.330061,75.773015
Holy Cross Hospital,"Housing Board Colony, Jyothinagar",577102,08262-220431,08262-220017,13.3385935,75.8035569
Vasuda Hospital,"B.H. Road, Tarikere, Beside Ksrtc Bus Stand",577228,08261-222272,,13.7083976,75.8195432
Ashirvad Hospital,Rathnagiri Road,577101,08262-235676,08262-230287,13.32660015,75.77212027
Krishna Nursing Home,"Lakshmi Bazar, Near State Bank Of Mysore",577501,08194-221653,08194-224391,14.2242638,76.4003581
Udaya Nursing Home,J.C.R. Extension Main Road,577501,08194-230269,08194-230046,14.2295599,76.4037082
Suneetha Nursing Home,"Opp A.I.R Station, C.K.Pura, Kelagote",577501,08194-224229,08194-228338,14.2245966,76.4110923
Sri Thirumala Hospital,"Shanhinagar Behind Lic Office, Challakere",577522,08195-223692,08195-223692,14.3163453,76.6462751
Ashwini Hospital,"Nh-48, Nellyady, Dakshina Kannadadakshina Kannada",574229,08251-254683,08251-254683,12.8307703,75.4132301
Pushparaj Hospital,"Main Road, Kalladka,  Dakshina Kannada`",574222,08255-275213,08255-275213,12.8447745,75.0709292
Ashraya Hospital,"No.1977/1 & 2, Mcc 'A' Block, Shamanur Road, Davanagere",577004,08192-224679,08192-224294,14.45688515,75.9086843
Kadli Ningamma Memorial Hospital,Mcc B. Block Ii Nd Maindavanagere,577004,08192-272620,08192-221777,14.453509,75.9149855
Latha Nursing Home,"9Th Cross, 2 Main, P J Extensionp.J. Extention",577002,08192-253320,08192-231082,14.4600107,75.9182825
Ravi Nursing Home,"# 136, Mahaveer Roaddavanagere",577001,08192-277750,08192-275094,14.4697481,75.9246522
Shilpa Diagnostics Pvt Ltd & Hospital,"# 2972/A-4, M.C.C. B Block, Near Swimming Pool",577004,08192-221638,08192-222355,14.4547837,75.9127531
Sri Ramakrishna Nursing Home,"757/35, 8Th Main, P.J.Extn",577002,08192-234286,08192-259262,14.4615605,75.9259665
Apoorva Hospital,"3Rd Main Road, 9Th Cross, J.P. Extention",577002,08192-256714,08192-256714,14.4570296,75.9190598
Suchetana Hospital,"3Rd Main, P.J.Extention",580002,08192-230203,,14.4586009,75.9192249
Ashwini Nursing Home,"Akka Mahadevi Road, A.V.K.College Road, P.J.Extension, Near Bapuji Corporation Bank",577002,08192-2558707,,14.4613859,75.9179903
Madhavi Hospital,"4Th Main, M.C.C. A Block, Church Road",577004,08192-221274,,14.4610664,75.9119942
Gurunath Hospital,K.R. Road,577001,08192-653797,,14.4703623,75.9251967
Anugraha Hospital,"# 2698, 2Nd Main, 2Nd Cross, M.C. B Block",577004,08192-222292,08192-221777,14.4593996,75.9189954
Mruthyunjaya Memorial Eye Hospital,"#424, 4Th Main, 8Thcross, P.J.Extension Badagi Shettar School Opposite Road",577002,08192-270226,08192-256488,14.4601268,75.9161979
Drishti Speciality Eye Clinic,"280/2, 4Th Main, P.J.Extension",577002,08192-251584,08192-251584,14.459819,75.917472
Nayana Super Speciality Eye Hospital & Research Center,"#2685/2A-2B Dental College Road 1St Main M.C.C. ""B""Block",577004,08192-222289,08192-222289,14.4557185,75.9145396
Mavintop Hospital,"3348/A1, Shamanur Road, Opp: Veerabhadreswara Temple",577004,08192-222266,08192-222266,14.4538908,75.9052947
Vasan Eye Care Hospital-Davangere,"No 336/1-2-3, C G Hospital Road, 9Th Division 5Th Ward, P J Extension, Davanagere - 577002, Karnataka",577002,08192-398900,08192-300944,14.4587386,75.9188882
Shreeya Hospital,"P.B.Road, Irkal Complex",580008,0836-2443515,,15.4597399,75.0068378
Naregal Nursing Home,Siddarudhmath Road,580024,0836-2211889,,15.3349393,75.1217973
Spandana Hospital,"Malaprabha Complex, Saptapur",580001,0836-2771191,0836-2771194,15.4507149,74.9947759
Vasan Eye Care Hospital Dharwad,"Bikkannawar Building,Opp Hotel Hoysala Pb Road Dharwad - 580001, Karnataka",580001,0836-0836 3989000,0836-2441222,15.463089,75.0087489
Janatha Nursing Home,"Senigarapet, Beside Sowndarya Mahal Theater, Behind Old Bus Stand, Bangalore Rural",561203,080-7622005,080-7622005,13.2939411,77.5427619
Sanjeevini Hospital,K.C. Rani Road,582101,08372-236044,,15.432161,75.641249
Hosmath Hospital,"K.C. Rani Road, Masari",582101,08372-235442,08372-235678,15.4314887,75.6403515
Vaatsalya Hospital,"Masari, Vivekanada Road",582101,08372-252399,,15.432985,75.6452425
Patil Eye Hospital,192 1B 1 Floor Court Road,500001,08332-229100,08332-229101,16.1641172,74.8226666
Khaja Bandanawaz Teaching & General Hospital,Main Road,560075,08472-223458,08472-231694,17.3261257,76.833681
Kamal Eye Hospital,"10-105/14, Sharannagar, Brhamapur",585103,08472-222125,,17.3333776,76.82920465
Medicare Multispeciality Hospital,"Darga Road, Sangtrashwadi Opp Old Employment Office",585101,08472-262524,,17.3372802,76.8441376
Tipu Sultan Maternity And General Hospital,"Tipu Sultan Unani Medical College And Hospital, Millat Nagar, Ring Road",585104,0847-2322992,0847-2268273,17.3585389,76.8547592
V.A.M Hospital,"Ooty Mysore Road, Mysore Dist",571111,08229-222300,08229-22300,11.8173778,76.6846776
Dange Hospital,"M.G. Road, Near Adichundhangiri School",573201,08172-265236,08172-265236,13.01609405,76.10600755
Jayashree Nursing Home,"#973, 4Th Cross, K.R. Puram",573201,08172-269128,08172-252770,13.0063532,76.1083822
Lakshmi Nursing Home,"Govt College Road, Near Ncc Office",573201,08172-265578,,13.0152386,76.1023088
Shivara Shivappa Memorial Hospital,Opp Shankar Mutt Roadk.R. Puram,573201,08172-234414,08172-260436,13.0053492,76.1064662
Sharada Nursing Home,Shankar Matt Road,573201,08172-269762,,13.0043108,76.1065395
Rajeev Hospital,"Govt. Hospital Road, K.R.Puram",573201,08172-251770,08172-265505,13.0043905,76.1058381
Hemavathi Hospital,"Near Saljedi Theater, Northern Extension",573201,08172-261204,08172-261204,13.0106682,76.09700627
Mangala Hospital,Sampige Road Kr Puram,573201,9620727143,08172-260897,13.0047689,76.1075614
Mani Speciality Hospital,"#252, Samplge Road, K.R.Puram",573201,08172-260034,08172-232551,13.0064877,76.1071285
Ravi Nursing Home,Road,577501,08194-224023,08194-224023,14.2219987,76.390409
M.M. Joshi Eye Institute,"Hosur Corner, Gokul Road",580021,0836-2228431,0836-2375933,15.35318405,75.13063885
Shivakrupa Hospital,"Bembalgi Complex, Sir Siddappa",580021,0836-2350448,,15.3527442,75.1440817
Vasan Eye Care Hospital,"Near Court Circle, Hubli - 5800029, Karnataka",580029,0836-4269666,0836-4261222,15.3531005,75.1393014
City Clinic,Madhavpur,580020,0836-2363137,0836-2365505,15.3493206,75.1402434
Tatwadarsha Hospital,"M.T. Sagar, Near Shreyanagar, Unkal-Heggeri Road, Opp. Ksrtc Depot, Gokul Road",580030,0836-2234465,0836-2370486,15.35604785,75.11810886
Karkala Nursing Home,# 143/ Iv Main Road,574104,08258-230446,08258-230190,13.2149421,74.9960681
Brahma Nursing Home,Nadangadda,581304,08382-225317,,14.8320129,74.1436306
Akshaya Nursing Home,3Dr Cross Gowripet,563101,08152-222938,,13.133858,78.1339905
Manjunatha Health Care,Behind Snr Hospital,563101,08152-223151,,13.1291353,78.1353852
New Kamadhenu Nursing Home,Sharada Takies Road.Near Ksrtc Bus Stand,563101,08152-222487,,13.1343869,78.1290056
Sanjana Hospital,"Maruthi Extension, Malur",563130,08151-234223,08151-234223,13.0032131,77.9399689
New Kolar Nursing Home,"2Nd Cross, Kuvempunagar",563101,08152-220827,08152-224700,13.1359894,78.1280588
Suguna Nursing Home,"Antharaganga Road, 1St Cross",563101,08152-224555,08152-226574,13.1362232,78.1281982
Shankar Eye Hospital,"G.T. Street, Cotton Pet, Near Syndicate Bank",563101,08152-224666,,13.1331841,78.1322725
Dr.Nukapur Hospital,"Sharada Talkies Road, Near Ksrtc Bus Stand",563101,0815-2320444,0815-2401764,13.135509,78.1292246
Holy Cross Hospital,"Kamagere, Chamarajnagar",571443,08224-263116,08224-263348,12.1295151,77.2336641
Archana Hospital,"K.R. Road, Ashok Nagar",571401,08232-224092,08232-224092,12.52419055,76.89745215
Kaveri Nursing Home,"#1132, 3Rd Main, 1St Cross, Ashoknagar",571401,08232-230368,08232-223168,12.5267842,76.8963361
Mamatha Nursing Home,General Hospital Road Near Medical College,571401,08232-225150,08232-225225,12.5270801,76.8989145
Nandini Nursing Home,"# 1586, K.R. Road",571401,08232-225114,08232-225114,12.5257256,76.8951843
Pragathi Hospital,"G.H.Road, Ashok Nagar",571401,08232-224321,08232-221718,12.5232166,76.8990225
Seva Nursing Home,"#1465, 100Ft Road, Ashok Nagar",571401,08232-220636,,12.5218119,76.8959807
Adichunchanagiri Hospital & Research,"Balagangadharanatha Nagara, Nagamangala Taluk, Dist, -Nagamangala Taluk, Dist",571448,08234-287011,08234-287344,12.9663258,76.7212509
Krupa Nursing Home,"#2050/A, Ii Cross Road, Subashnagar",571401,08232-206013,08232-309360,12.5255762,76.8876715
Ravi Nursing Home,"1512, Ashok Nagar, Hospital Road",571401,08232-223773,,12.5222885,76.89897
Ramakrishna Nursing Home,"#1596/A, 1St Cross, Ganapathi Temple Street",571401,08232-224941,08232-224941,12.5236998,76.89264
Colaco Hospital,"Lower Bendore Main Road, Dakshina Kannada",575002,0824-2434404,0824-2434404,12.8727086,74.85651046
Indira Hospital,"Falnir Road Opp St Mary'S School, -South Canara",575002,0824-2431222,0824-4260888,12.8680582,74.8500681
K.M.C Hospital,Attavar,575001,0824-2445858,0824-2442946,12.8717224,74.8484812
Tejasvini Hospital,"Kadri Temple Road, 575 002",575002,0824-2880100,0824-2225998,12.8804104,74.8537347
Vijaya Clinic General Hospital,Bunts Hostel Road,575003,0824-2444818,0824-2444819,12.8760085,74.8480497
Vijaya Clinic Maternity & Surgical Nursing Home,Kadri Kambla Road,575004,0824-2217877,0824-2217427,12.8809072,74.8531285
Jayashree Nursing Home,K.S.Rao Road,575001,0824-2440263,0824-2410887,12.87226035,74.84280893
Prathiba Eye Hospital,"Kadri Road, Opp Syndicate Bank",575003,0824-2224460,0824-2225060,12.8790416,74.8519879
Nayana Nethralaya Eye Hospital,Brigade Plaza Pm Rao Road Opp St.Alyosious School Karangalpady,575003,0824-2491716,0824-2491716,12.8760713,74.8451892
Indiana Hospital And Heart Institute Ltd,"Mahaveer Circle, Pumpwell, Kankanady P.O",575002,0824-28802880,0824-28802880,12.8676798,74.8664233
Prasad Netralaya,"Shree Krishna Prasad Building, M.G.Road, Lalbagh",575003,0824-4280199,0824-4280199,12.886325,74.8382235
Kasturba Hospital,"Post Box No.7, Madhav Nagar",575119,0820-2923069,0820-2571934,13.3538104,74.7900929
Basappa Memorial Hospital,"22-B, Vinobha Road",570012,0821-2511771,0821-2414471,12.320693,76.62040661
Apollo B.G.S Hospitals,"Adichunchanagiri Road, Kuvempunagar",570023,0821-2466018,0821-2461082,12.2959168,76.63244604
Cauvery Hospital,"# 756, New Kantharaje Urs Roadsaraswathipuram",570009,0821-2341900,0821-2342113,12.3053048,76.69590642
Chitra Hospital,"25/1A, Irwin Rd",570001,0821-445954,0821-2520626,12.3144454,76.6552249
Indira Nursing Home,"436, Vijayanagar Railway Layout, Surya Bakery Road",570016,0821-2303707,0821-2303707,12.3419968,76.6175574
Karuna Hospital,"#671/B Nrupatunga Road, M Block 2Nd Stage, Kuvenpunagar. -Nrupatungd Road, Kuvempunagar",570023,0821-561269,0821-2561269,12.2797607,76.6253639
Murthy Eye Hospital,"# 25, 1St Main Road, T.K. Layout, -, Near Maruthi Temple",570009,0821-2544852,0821-2544852,12.3019925,76.6201584
Nanjamma Javaregowda Hospital,"#2265, 4Th Main Road, Vijayanagarvinayakanagar",570012,0821-2515609,0821-2510485,12.3174159,76.62824725
Netra Jyothi Eye Hospital & Phaco Cataract Surgery Centre,"#1027, Panchamantra Road, Opp Sangeetha Mobile Shop, (Near Sbi), Kuvempunagar",570023,0821-2561544,0821-2561544,12.2882524,76.6269171
Raman Memorial Hospital,"1498 Ramaiyer Road, Krishnamurthy Puram",570004,0821-2332381,0821-2331094,12.2922659,76.6422933
Sushrutha Eye Hospital,"No.313, Dewans Road, Besides Mairmallappa'S College",570024,0821-2427070,0821-4243611,12.306409,76.6455915
Usha Kiran Eye Hospital,"#877/1, Deewans Road, Lakshmipuram",570004,0821-2334777,0821-244222,12.2982394,76.6443821
Priyadarshini General Hospital,"No:13, 7Th Main, Brindavan Extension 4Th Cross",570020,0821-5533799,0821-2511832,12.342081,76.6333455
Mythri Hospital,"No.2818-K13, N.S.Road, Chamundipuram",570004,0821-4259526,0821-4259526,12.2902204,76.6494012
Ramakrishna Hospital,"#1120/F58B, 1St Main, Jlb Road, Vidyaranyapuram",570008,0821-2486734,0821-4289603,12.308723,76.616929
Kamakshi Hospital,Kuvempunagar,570009,0821-2545981,0821-2341981,12.2996726,76.62367805
Bhagwan Mahaveer Darshan Eye Hospital,"Opp. K.R. Mills, Bangalore Road, Siddalingapura",570003,0821-3204001,0821-3204001,12.35966085,76.66066056
Pragati Visions (Super Speciality Eye Hospital),"1-E, -Mercara Road, Hinkal",570017,0821-4008800,0821-4008899,12.3245891,76.6099298
St.Joseph'S Hospital,"#176, Bannimantap",570015,0821-4003900,0821-4003999,12.31948185,76.62356163
Sri Srinivasa Hospital,"#03, Mahadevapura Double Road, Udayagiri",570019,0821-2456114,0821-2456262,12.3245957,76.6768898
Cauvery Hospital,"Terission College Road, Bannur Road, Shidharthnagar",570011,0821-2425000,0821-4253968,12.3053048,76.69590642
Columbia Asia Hospital,"85-86, Bangalore Ring Road, Junction, Bannimantap A Layout, Siddiqui Nagar",570015,0821-3989896,0821-3322301,12.3500467,76.6606548
Supriya Hospital,"#1138, Ring Road, Signal Hinkal",570017,0821-4247026,,12.3336069,76.5995692
Vikram Jyoth,"No-2207, New No-22, 22/1, Temple Road, V.V. Mohalla, Next To Corporation Bank",570012,0821-4242461,0821-4240303,12.3247991,76.6320872
